tillotson ave step street from Wickham Ave to East 222 St,BRONX,Unspecified BRONX,Unspecified,,,05/18/2019,Open,Property Research Required,,,,,,,,,,,20247
106-26-guy-r-brewer-ave 106-26-guy-r-brewer-ave,QUEENS,Unspecified QUEENS,Unspecified,,,12/16/2019,Open,Property Research Required,,,,,,,,,,,20428
33 rd between 21st st and14th st  13th an14th st between 34th av and 33rd av,QUEENS,Unspecified QUEENS,Unspecified,,,09/25/2019,Open,Property Research Required,,,,,,,,,,,21621
Wickham Avenue and Givan Avenue on the concrete structure under the 5 train tracks,BRONX,Unspecified BRONX,Unspecified,,,08/22/2019,Open,Property Research Required,,,,,,,,,,,23917
POYER STREET BETWEEN ST JAMES AVENUE AND 51ST AVENUE,QUEENS,Unspecified QUEENS,Unspecified,,,09/27/2019,Open,Property Research Required,,,,,,,,,,,24262
33rd rd 13 and 14 st between 34th a 33rd av mailboxes,QUEENS,Unspecified QUEENS,Unspecified,,,09/25/2019,Open,Property Research Required,,,,,,,,,,,25073
North West Corner of Garnet Street and Smith Street,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,05/17/2019,Open,Property Research Required,,,,,,,,,,,25147
South East corner West 135 street and 7th Avenue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,08/07/2019,Open,Property Research Required,,,,,,,,,,,27966
EUFORA studio salon 718 Greenwich st New York NY 10014,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,10/25/2019,Open,Property Research Required,,,,,,,,,,,28297
NORTH EAST CORNER OF WEST 132 STREET AND LENOX AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,08/01/2019,Open,Property Research Required,,,,,,,,,,,30321
106-50-guy-r-berwer-ave 106-50-guy-r-berwer-ave,QUEENS,Unspecified QUEENS,Unspecified,,,12/16/2019,Open,Property Research Required,,,,,,,,,,,30665
South west corner of west 146 street and 7 avenue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,08/02/2019,Open,Property Research Required,,,,,,,,,,,32215
CORNER OF NORFOLK ST AND DELANCEY STREET NORTH EAST CORNER,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,08/10/2019,Open,Property Research Required,,,,,,,,,,,32889
albee avenue between drumgoole road east to drumgoole road west underpass,Unspecified,0 Unspecified,Unspecified,,,09/18/2019,Open,Property Research Required,,,,,,,,,,,34524
106-47-gut-r-berwer-ave 106-47-gut-r-berwer-ave,QUEENS,Unspecified QUEENS,Unspecified,,,12/16/2019,Open,Property Research Required,,,,,,,,,,,35875
106-50-guy-r-berwer-ave 106-50-guy-r-berwer-ave,QUEENS,Unspecified QUEENS,Unspecified,,,12/17/2019,Open,Property Research Required,,,,,,,,,,,36478
NW Corner of West 147 Street and 7 Avenue NY NY 10039,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,09/04/2019,Open,Property Research Required,,,,,,,,,,,38410
South east Corner of West 133 and Lenox Avenue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,08/08/2019,Open,Property Research Required,,,,,,,,,,,38709
northwest corner east 148 street and bergen avenue,BRONX,Unspecified BRONX,Unspecified,,,01/03/2020,Open,Property Research Required,,,,,,,,,,,38925
hallets cove at 33rd rd  plus 13 and 14 street between 34th and 33rd av mailboxes only,QUEENS,Unspecified QUEENS,Unspecified,,,09/25/2019,Open,Property Research Required,,,,,,,,,,,40498
106-26-guy-r-brewer-ave 106-26-guy-r-brewer-ave,QUEENS,Unspecified QUEENS,Unspecified,,,12/17/2019,Open,Property Research Required,,,,,,,,,,,41671
